Current (uA),rx timestamp (us),board timestamps (ms)
906.2,1156200,1000
907.6,1156200,1000
909.8,1158616,1000
907.5,1158616,1000
909.0,1160708,1000
910.3,1160708,1000
907.1,1162685,1000
908.7,1162685,1000
907.6,1164687,1000
909.9,1164687,1000
904.8,1166693,1000
908.4,1166693,1000
909.6,1168055,1000
909.0,1169121,1000
906.2,1170429,1000
906.9,1171535,1000
907.0,1172570,1000
909.1,1172570,1000
908.9,1174570,1000
903.8,1174570,1000
905.1,1177316,1000
909.8,1177459,1000
907.7,1178789,1000
909.6,1178789,1000
909.9,1180772,1000
909.8,1180772,1000
908.7,1182762,1000
905.7,1182762,1000
910.0,1184742,1000
909.9,1184742,1000
903.6,1186138,1000
906.2,1187148,1000
909.9,1188663,1000
907.1,1188663,1000
909.6,1190707,1000
910.6,1190707,1000
906.1,1192788,1000
909.9,1192788,1000
909.1,1194739,1000
908.6,1194739,1000
909.9,1196750,1000
906.9,1198101,1000
909.2,1199193,1000
907.6,1200203,1000
909.0,1201160,1000
909.1,1202120,1000
907.4,1203152,1000
907.6,1204164,1000
910.2,1204164,1000
906.7,1206163,1000
905.4,1206163,1000
907.5,1208504,1000
905.5,1208504,1000
906.7,1210554,1000
907.7,1211499,1000
909.9,1212657,1000
909.5,1212657,1000
907.6,1214663,1000
909.8,1214663,1000
902.9,1216681,1000
912.4,1216681,1000
909.9,1218061,1000
907.0,1218061,1000
909.9,1220067,1000
909.9,1220067,1000
910.7,1222141,1000
909.9,1222141,1000
908.1,1224160,1000
906.8,1224160,1000
908.9,1226163,1000
904.2,1226163,1000
907.4,1228536,1000
909.9,1228536,1000
903.5,1230527,1000
909.8,1230527,1000
906.9,1232479,1000
909.2,1232479,1000
905.2,1234299,1000
906.0,1234299,1000
906.2,1236191,1000
909.8,1236191,1000
911.4,1238683,1000
909.2,1238683,1000
909.2,1240699,1000
908.9,1240699,1000
908.4,1242288,1000
907.8,1242288,1000
909.7,1244260,1000
908.1,1244260,1000
909.0,1246287,1000
910.0,1246287,1000
909.2,1247341,1000
909.9,1247341,1000
911.8,1250047,1000
908.9,1250047,1000
912.1,1252159,1000
907.6,1252159,1000
909.1,1254181,1000
908.9,1254181,1000
910.9,1256181,1000
906.2,1256181,1000
908.5,1258579,1000
909.6,1258579,1000
909.8,1259670,1000
910.0,1259670,1000
910.4,1261684,1000
912.2,1261684,1000
909.0,1263674,1000
907.4,1264565,1000
906.7,1265663,1000
904.7,1265663,1000
909.4,1267946,1000
909.9,1267946,1000
906.7,1269877,1000
910.3,1270650,1000
907.6,1272055,1000
908.8,1273139,1000
911.9,1274078,1000
909.4,1274078,1000
907.1,1276080,1000
908.4,1276080,1000
908.8,1277503,1000
907.6,1278557,1000
909.7,1279606,1000
907.4,1280557,1000
904.0,1281599,1000
909.0,1281599,1000
905.4,1283601,1000
903.4,1283601,1000
907.8,1285615,1000
904.0,1285615,1000
909.1,1288014,1000
907.2,1288014,1000
904.7,1289940,1000
909.0,1289940,1000
911.4,1291912,1000
910.4,1291912,1000
909.8,1293946,1000
907.7,1293946,1000
901.8,1295861,1000
904.6,1295861,1000
905.9,1297888,1000
909.8,1298041,1000
909.8,1299930,1000
907.0,1299930,1000
909.2,1301919,1000
905.4,1301919,1000
909.4,1303943,1000
907.6,1303943,1000
909.8,1305877,1000
905.9,1305877,1000
911.4,1308074,1000
909.8,1308215,1000
908.5,1310221,1000
903.8,1310221,1000
909.6,1311316,1000
907.5,1311316,1000
907.7,1313347,1000
908.7,1313347,1000
912.2,1315301,1000
905.1,1315301,1000
909.9,1317681,1000
908.9,1317681,1000
907.6,1319680,1000
907.6,1319680,1000
909.7,1320677,1000
906.9,1321676,1000
909.0,1322727,1000
909.6,1323754,1000
908.4,1325729,1000
907.7,1325729,1000
909.2,1328129,1000
907.8,1328129,1000
909.9,1329678,1000
909.7,1329678,1000
905.3,1331556,1000
908.6,1331556,1000
905.4,1333564,1000
907.7,1333564,1000
907.5,1335567,1000
909.2,1337844,1000
909.2,1337844,1000
907.7,1338938,1000
906.2,1339903,1000
904.5,1340933,1000
909.1,1341897,1000
913.6,1342922,1000
909.7,1343898,1000
904.7,1344938,1000
909.7,1345916,1000
907.7,1347407,1000
907.9,1347407,1000
906.7,1349474,1000
909.0,1349474,1000
908.4,1351495,1000
910.0,1351495,1000
909.9,1353613,1000
907.7,1353613,1000
905.5,1355638,1000
911.9,1356129,1000
909.1,1357326,1000
909.2,1357326,1000
907.7,1359392,1000
905.3,1359392,1000
909.2,1361409,1000
909.2,1361409,1000
909.9,1363407,1000
907.7,1363407,1000
909.6,1365408,1000
909.9,1365408,1000
909.9,1367706,1000
909.9,1367706,1000
911.4,1368809,1000
909.0,1369761,1000
907.7,1370803,1000
909.9,1371764,1000
910.0,1372790,1000
909.6,1372790,1000
908.2,1374802,1000
904.0,1374802,1000
906.6,1377104,1000
905.9,1377104,1000
909.8,1379270,1000
907.1,1379270,1000
903.0,1381287,1000
909.6,1381287,1000
908.1,1383409,1000
905.3,1383409,1000
907.7,1385425,1000
909.9,1385425,1000
909.1,1387434,1000
908.1,1387825,1000
909.0,1389144,1000
910.0,1389144,1000
909.1,1391195,1000
909.9,1391195,1000
909.9,1393194,1000
908.5,1393194,1000
908.3,1395194,1000
907.5,1395194,1000
909.2,1397495,1000
909.9,1397495,1000
909.6,1398595,1000
909.4,1399553,1000
907.2,1400598,1000
907.2,1401561,1000
909.2,1402624,1000
907.2,1403554,1000
909.4,1404579,1000
907.0,1404579,1000
909.2,1407588,1000
904.4,1407791,1000
909.1,1409172,1000
909.4,1409172,1000
906.7,1411192,1000
906.7,1411192,1000
908.2,1413174,1000
906.9,1413174,1000
903.6,1415019,1000
905.7,1415019,1000
906.1,1417537,1000
908.9,1417537,1000
909.9,1419159,1000
909.1,1419159,1000
907.5,1420244,1000
912.1,1421202,1000
911.4,1422266,1000
909.3,1423257,1000
909.9,1425214,1000
904.8,1425214,1000
908.8,1426298,1000
908.8,1427401,1000
912.0,1428826,1000
907.4,1428826,1000
905.5,1430952,1000
909.1,1430952,1000
904.6,1433013,1000
909.4,1433013,1000
909.6,1435055,1000
904.8,1435055,1000
908.4,1436897,1000
909.5,1437999,1000
904.6,1438398,1000
906.1,1438398,1000
902.2,1440521,1000
904.0,1440521,1000
907.8,1442496,1000
909.4,1442496,1000
909.3,1444490,1000
907.5,1444490,1000
